username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
_nishilee;2016/04/09;0;0;"@Its_Allman_Doe I enjoy the cheesey charisma and chutzpah he brings to the show";;@Its_Allman_Doe;;"718951570088534016";https://twitter.com/_nishilee/status/718951570088534016
toms1396;2016/04/09;0;0;"@gonchi_charisma おはようございます。今朝の札幌は寒いですが、ライブ会場で熱く盛り上がりたいです";;@gonchi_charisma;;"718951506611818496";https://twitter.com/toms1396/status/718951506611818496
JOKER380neko;2016/04/09;0;0;"やばい、最近http://Charisma.com きてる笑";;;;"718951401401942016";https://twitter.com/JOKER380neko/status/718951401401942016
komatz_charisma;2016/04/09;0;0;"さ、布団干そ。";;;;"718950642660679680";https://twitter.com/komatz_charisma/status/718950642660679680
komatz_charisma;2016/04/09;0;0;"ヒント:異母姉妹";;;;"718950444689559554";https://twitter.com/komatz_charisma/status/718950444689559554
CrystalRyder2;2016/04/09;0;0;"Dyne disablement ruly english that charisma strike dumb inner man: rejGMl http://dlvr.it/L1LpHt ";;;;"718950029889654784";https://twitter.com/CrystalRyder2/status/718950029889654784
komatz_charisma;2016/04/09;0;0;"魔法は？";;;;"718949683524083712";https://twitter.com/komatz_charisma/status/718949683524083712
Et_forman;2016/04/09;0;0;"@katiebroen I'm gonna kill your charisma";;@katiebroen;;"718949550522806272";https://twitter.com/Et_forman/status/718949550522806272
AspiringEC;2016/04/09;0;0;"@OhYeahGuy well I won't say boring but lacks charisma .. look at tyson etc when they were boxing .. fast talking eccentric etc. But If that";;@OhYeahGuy;;"718949419543097345";https://twitter.com/AspiringEC/status/718949419543097345
komatz_charisma;2016/04/09;0;0;"そう。カブトムシ採りの罠みたいなやつ。";;;;"718949269697220608";https://twitter.com/komatz_charisma/status/718949269697220608
iLove_Charisma;2016/04/09;1;0;"Last Night was LIT around this timing #WSSUpic.twitter.com/J9IsLj1ymw";;;#WSSUpic;"718949266920759301";https://twitter.com/iLove_Charisma/status/718949266920759301
komatz_charisma;2016/04/09;0;0;"突然のBKB。";;;;"718948926917705728";https://twitter.com/komatz_charisma/status/718948926917705728
