username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BarackObama;2014/07/15;765;1086;"One reason it's time to #RebuildAmerica: 65% of America's major roads' condition is rated lower than good.";;;#RebuildAmerica;"489177625345028096";https://twitter.com/BarackObama/status/489177625345028096
BarackObama;2014/07/15;616;1225;"FACT: Nearly 70% of Americans agree that transportation deserves more federal funding. #RebuildAmerica";;;#RebuildAmerica;"489146791627984896";https://twitter.com/BarackObama/status/489146791627984896
BarackObama;2014/07/15;826;631;"Climate change deniers are at it again: http://ofa.bo/c0Ek  #ActOnClimate";;;#ActOnClimate;"489122020961955841";https://twitter.com/BarackObama/status/489122020961955841
BarackObama;2014/07/15;402;615;"DYK: 1 in 4 of America's bridges requires significant repair or cannot handle today's traffic. #RebuildAmerica";;;#RebuildAmerica;"489106650494537728";https://twitter.com/BarackObama/status/489106650494537728
BarackObama;2014/07/15;924;1438;""Do something. That's my big motto for Congress right now." —President Obama #RebuildAmerica";;;#RebuildAmerica;"489080324979048448";https://twitter.com/BarackObama/status/489080324979048448
BarackObama;2014/07/15;552;943;""The American people have to demand that the folks in Washington do their job." —President Obama #RebuildAmerica";;;#RebuildAmerica;"489079593513807872";https://twitter.com/BarackObama/status/489079593513807872
BarackObama;2014/07/15;491;828;""We could do so much more if we just rallied around a sense of economic patriotism." —President Obama #RebuildAmerica";;;#RebuildAmerica;"489078911620247554";https://twitter.com/BarackObama/status/489078911620247554
BarackObama;2014/07/15;620;758;""When you are in traffic congestion because of poor planning and infrastructure, that's a cost to you." —President Obama #RebuildAmerica";;;#RebuildAmerica;"489078030673772545";https://twitter.com/BarackObama/status/489078030673772545
BarackObama;2014/07/15;282;520;""There is something called the Highway Trust Fund ... It helps states fund state infrastructure projects." —President Obama #RebuildAmerica";;;#RebuildAmerica;"489077212503474177";https://twitter.com/BarackObama/status/489077212503474177
BarackObama;2014/07/15;488;718;""First-class infrastructure attracts first-class jobs." —President Obama #RebuildAmerica";;;#RebuildAmerica;"489076631189729280";https://twitter.com/BarackObama/status/489076631189729280
BarackObama;2014/07/15;783;1479;""As the father of a daughter who just turned 16, any new technology that makes driving safer is important to me." —President Obama";;;;"489075976387584000";https://twitter.com/BarackObama/status/489075976387584000
BarackObama;2014/07/15;224;421;"WATCH: President Obama is in Virginia discussing ways to rebuild America's infrastructure. http://ofa.bo/e0Ev  #RebuildAmerica";;;#RebuildAmerica;"489074385920073728";https://twitter.com/BarackObama/status/489074385920073728
BarackObama;2014/07/15;445;687;"Add your name to help millions of Americans who are struggling to make ends meet on the minimum wage: http://ofa.bo/c0EM  #RaiseTheWage";;;#RaiseTheWage;"489057530018947073";https://twitter.com/BarackObama/status/489057530018947073
BarackObama;2014/07/14;467;751;"Join the fight to help folks struggling to get by on the minimum wage: http://ofa.bo/p0Gd  #RaiseTheWage";;;#RaiseTheWage;"488801518271725568";https://twitter.com/BarackObama/status/488801518271725568
BarackObama;2014/07/14;374;632;"It's time to #RebuildAmerica: Check out the President's plan to fix our roads and bridges. http://ofa.bo/a0DP ";;;#RebuildAmerica;"488771767037853697";https://twitter.com/BarackObama/status/488771767037853697
BarackObama;2014/07/14;1638;1016;"Hard-working Americans deserve better than the current minimum wage. It's time for a change: http://ofa.bo/g0D4  #RaiseTheWage";;;#RaiseTheWage;"488756346880151553";https://twitter.com/BarackObama/status/488756346880151553
BarackObama;2014/07/14;431;621;"Get your name on the minimum wage petition before it's delivered to lawmakers: http://ofa.bo/e0Dw  #RaiseTheWage";;;#RaiseTheWage;"488709907823079426";https://twitter.com/BarackObama/status/488709907823079426
BarackObama;2014/07/14;4221;2778;"Retweet if you think hard-working Americans deserve a raise. #RaiseTheWagepic.twitter.com/KxdOns3kZQ";;;#RaiseTheWagepic;"488692578083033088";https://twitter.com/BarackObama/status/488692578083033088
BarackObama;2014/07/13;347;603;"Watch: See how this Maine shoe store owner takes care of his employees. http://ofa.bo/p0Fr  #RaiseTheWage";;;#RaiseTheWage;"488369442746023936";https://twitter.com/BarackObama/status/488369442746023936
BarackObama;2014/07/13;404;687;"Chris has been sailing most of his life—and he's seen the impacts of climate change firsthand: http://ofa.bo/j0C6  #ActOnClimate";;;#ActOnClimate;"488333524752404481";https://twitter.com/BarackObama/status/488333524752404481
BarackObama;2014/07/12;676;1113;""Do something, Congress. Do anything to help working Americans." Watch the weekly address: http://ofa.bo/f0DI  #OpportunityForAll";;;#OpportunityForAll;"488071483118219264";https://twitter.com/BarackObama/status/488071483118219264
BarackObama;2014/07/12;598;864;"This minimum wage petition is about making sure your voice is heard: http://ofa.bo/p0FX  #RaiseTheWage";;;#RaiseTheWage;"488017048610406401";https://twitter.com/BarackObama/status/488017048610406401
BarackObama;2014/07/12;391;833;"Watch the weekly address: With or without Congress, the President won't stop fighting for working Americans.http://ofa.bo/s0Da ";;;;"487976903173632001";https://twitter.com/BarackObama/status/487976903173632001
BarackObama;2014/07/11;871;1172;"FACT: Employment growth in 2014 has been faster in states that raised the minimum wage. http://ofa.bo/g0Bh  #RaiseTheWage";;;#RaiseTheWage;"487715601347923968";https://twitter.com/BarackObama/status/487715601347923968
BarackObama;2014/07/11;425;652;"Check out who joined together to call on House leaders to pass immigration reform: http://ofa.bo/h0A0  #CostOfInaction";;;#CostOfInaction;"487696996845621248";https://twitter.com/BarackObama/status/487696996845621248
BarackObama;2014/07/11;237;553;"Follow the team that's now 5 million action takers strong: @OFA. #FF";;@OFA;#FF;"487680187501248512";https://twitter.com/BarackObama/status/487680187501248512
BarackObama;2014/07/11;289;550;""Our country needs it." See why this small business owner wants to #RaiseTheWage: http://ofa.bo/q0Bu ";;;#RaiseTheWage;"487650747450802176";https://twitter.com/BarackObama/status/487650747450802176
BarackObama;2014/07/11;2947;1998;"Retweet if you're ready to #ActOnClimate.pic.twitter.com/OK3lhdJTb5";;;#ActOnClimate;"487628958398029825";https://twitter.com/BarackObama/status/487628958398029825
BarackObama;2014/07/11;352;712;""The evidence is pretty overwhelming ... that Obamacare has driven down the uninsured rate." More from @voxdotcom:http://ofa.bo/i0BE ";;@voxdotcom;;"487608989027274753";https://twitter.com/BarackObama/status/487608989027274753
BarackObama;2014/07/10;392;742;"Watch: This shoe store owner knows running a successful business means happy, well-paid employees. http://ofa.bo/i09j  #RaiseTheWage";;;#RaiseTheWage;"487357555648102401";https://twitter.com/BarackObama/status/487357555648102401
BarackObama;2014/07/10;683;1072;"States that raised the minimum wage are seeing stronger job growth: http://ofa.bo/h08d  #RaiseTheWage";;;#RaiseTheWage;"487329784259551232";https://twitter.com/BarackObama/status/487329784259551232
BarackObama;2014/07/10;647;1003;""And it's your voice that's going to change this country." —President Obama #OpportunityForAll";;;#OpportunityForAll;"487304671568986112";https://twitter.com/BarackObama/status/487304671568986112
BarackObama;2014/07/10;491;889;""America is making progress—despite what the cynics say, despite unyielding opposition." —President Obama #OpportunityForAll";;;#OpportunityForAll;"487303470647480320";https://twitter.com/BarackObama/status/487303470647480320
BarackObama;2014/07/10;685;1259;""It's lonely doing work all by myself." —President Obama to House leadership #OpportunityForAll";;;#OpportunityForAll;"487302300042399744";https://twitter.com/BarackObama/status/487302300042399744
BarackObama;2014/07/10;500;950;""There's no denying a simple truth: America deserves a raise." —President Obama #OpportunityForAll #RaiseTheWage";;;#OpportunityForAll #RaiseTheWage;"487301558552363009";https://twitter.com/BarackObama/status/487301558552363009
BarackObama;2014/07/10;727;1256;""I don't want our future leaders saddled in debt before they start out in life." —President Obama #OpportunityForAll";;;#OpportunityForAll;"487300973300174849";https://twitter.com/BarackObama/status/487300973300174849
BarackObama;2014/07/10;371;746;""I want to make sure the next revolution in manufacturing is happening right here in America." —President Obama #OpportunityForAll";;;#OpportunityForAll;"487300363985252352";https://twitter.com/BarackObama/status/487300363985252352
BarackObama;2014/07/10;376;740;""We know it's what we should be doing and what drives me nuts is Washington isn't doing it." —President Obama #OpportunityForAll";;;#OpportunityForAll;"487299776359055361";https://twitter.com/BarackObama/status/487299776359055361
BarackObama;2014/07/10;499;976;""By almost every measure, we are better off now than when I took office."—President Obama #OpportunityForAll";;;#OpportunityForAll;"487299119531036672";https://twitter.com/BarackObama/status/487299119531036672
BarackObama;2014/07/10;956;1284;""This country is not going to succeed if just a few are doing well. This country succeeds when everyone's got a shot." —President Obama";;;;"487298304435159041";https://twitter.com/BarackObama/status/487298304435159041
BarackObama;2014/07/10;289;613;""We've still got a long way to go...we know there are still a lot of folks out there looking for work." —President Obama #OpportunityForAll";;;#OpportunityForAll;"487297733166780416";https://twitter.com/BarackObama/status/487297733166780416
BarackObama;2014/07/10;327;718;""We have come farther and recovered faster, thanks to you, than just about any other nation on Earth." —President Obama #OpportunityForAll";;;#OpportunityForAll;"487297115379335168";https://twitter.com/BarackObama/status/487297115379335168
BarackObama;2014/07/10;405;894;""More young people are graduating from college than ever before." —President Obama #OpportunityForAll";;;#OpportunityForAll;"487296517569384448";https://twitter.com/BarackObama/status/487296517569384448
BarackObama;2014/07/10;349;676;""Our businesses have added 10 million new jobs in the last 52 months." —President Obama #OpportunityForAll";;;#OpportunityForAll;"487295963745497088";https://twitter.com/BarackObama/status/487295963745497088
BarackObama;2014/07/10;2417;2900;""Everybody knows I love Austin, Texas." —President Obama";;;;"487293460743864320";https://twitter.com/BarackObama/status/487293460743864320
BarackObama;2014/07/10;228;547;"Happening now: The President is in Austin talking about growing the economy. http://ofa.bo/q0AH  #OpportunityForAll";;;#OpportunityForAll;"487292036446707712";https://twitter.com/BarackObama/status/487292036446707712
BarackObama;2014/07/10;521;683;"Make sure your name is on this minimum wage petition: http://ofa.bo/e0AU  #RaiseTheWage";;;#RaiseTheWage;"487255555841351680";https://twitter.com/BarackObama/status/487255555841351680
BarackObama;2014/07/10;361;760;"Jim owns a shoe store that's been open for 100 years—and he makes sure his employees earn a fair wage. http://ofa.bo/f0Ao  #RaiseTheWage";;;#RaiseTheWage;"487222421691568129";https://twitter.com/BarackObama/status/487222421691568129
BarackObama;2014/07/09;1377;763;"Happening now: President Obama delivers a statement on the humanitarian situation at the southwest border. http://ofa.bo/r0AA ";;;;"487008550787379201";https://twitter.com/BarackObama/status/487008550787379201
BarackObama;2014/07/09;449;704;"Don't miss your chance to sign this minimum wage petition before it's delivered: http://ofa.bo/a091  #RaiseTheWage";;;#RaiseTheWage;"486941635322736640";https://twitter.com/BarackObama/status/486941635322736640
BarackObama;2014/07/09;695;992;""Your voice might move fellow citizens to change what needs changing." —President Obama #OpportunityForAll";;;#OpportunityForAll;"486919452173148160";https://twitter.com/BarackObama/status/486919452173148160
BarackObama;2014/07/09;845;1158;""The hardest thing to change in politics is a stubborn status quo." —President Obama #OpportunityForAll";;;#OpportunityForAll;"486918798985809920";https://twitter.com/BarackObama/status/486918798985809920
BarackObama;2014/07/09;664;975;""We fall and we rise as one nation—as one people." —President Obama #OpportunityForAll";;;#OpportunityForAll;"486918139918028801";https://twitter.com/BarackObama/status/486918139918028801
