username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
RobotHQ;2017/03/19;0;0;"Mars Rover Nearing Marathon Achievement https://go.nasa.gov/2noPR3v  #robotics";;;#robotics;"843612551242043393";https://twitter.com/RobotHQ/status/843612551242043393
PARTHA_CSIR;2017/03/19;0;0;"Mars Rover Tests Driving, Drilling and Detecting Life in Chile’s High @DESERT_RATS";;@DESERT_RATS;;"843611617673789440";https://twitter.com/PARTHA_CSIR/status/843611617673789440
DrMarsRover;2017/03/19;0;2;"@MatDandoy @Grumpyfck @ZDP189 I agree and found some of the characterization funny. Maybe because I know people in real life like these...";;@MatDandoy @Grumpyfck @ZDP189;;"843586177227620352";https://twitter.com/DrMarsRover/status/843586177227620352
efs300;2017/03/19;0;0;"http://bit.ly/2mXXZpm  NASA Tests Mars Rover In Chile's Atacama Desert #mars";;;#mars;"843582943109021696";https://twitter.com/efs300/status/843582943109021696
DrMarsRover;2017/03/19;1;1;"@ZDP189 university's club darkroom";;@ZDP189;;"843579823331000320";https://twitter.com/DrMarsRover/status/843579823331000320
RobotHQ;2017/03/19;0;0;"NASA Mars Rover Opportunity Climbs to High Point on Rim https://go.nasa.gov/2np81lV  #robotics";;;#robotics;"843575309760905216";https://twitter.com/RobotHQ/status/843575309760905216
Mars_Rover1;2017/03/19;0;0;"@MzwaneleManyi @PeterFerreira5 @Goat300 sorry can you repeat that Jimmy?";;@MzwaneleManyi @PeterFerreira5 @Goat300;;"843564968872202241";https://twitter.com/Mars_Rover1/status/843564968872202241
Mars_Rover1;2017/03/19;0;1;"@EntireDesign_ @Anfield_Talk love him to bits!";;@EntireDesign_ @Anfield_Talk;;"843564497130393606";https://twitter.com/Mars_Rover1/status/843564497130393606
DrMarsRover;2017/03/19;0;5;"In my darkroom and playing Subculture as loud as I want to";;;;"843563694982234112";https://twitter.com/DrMarsRover/status/843563694982234112
Mars_Rover1;2017/03/19;0;2;"@WoganMay @MWTaylor7 @Clint_ZA @lootgous @deandwslater if they aren't paying him then WMC didn't enslave him either";;@WoganMay @MWTaylor7 @Clint_ZA @lootgous @deandwslater;;"843563454481022977";https://twitter.com/Mars_Rover1/status/843563454481022977
aresef;2017/03/19;0;0;"Lab assistant Dr. Mars Rover, MD pic.twitter.com/iLCvH5J2e5";;;;"843562893719277569";https://twitter.com/aresef/status/843562893719277569
Mars_Rover1;2017/03/19;0;1;"@MzwaneleManyi @MWTaylor7 haha caught shame Jimmy your lies caught up with you";;@MzwaneleManyi @MWTaylor7;;"843562682133430272";https://twitter.com/Mars_Rover1/status/843562682133430272
Mars_Rover1;2017/03/19;0;1;"@WoganMay @MWTaylor7 oh wow the truth comes out";;@WoganMay @MWTaylor7;;"843562362137382912";https://twitter.com/Mars_Rover1/status/843562362137382912
brianbuttonxp;2017/03/19;1;1;"@Doctor_Astro (best twitter handle ever!) and her experiences with Mars Rover project bring #aatc2017 to a great ending.";;@Doctor_Astro;#aatc2017;"843562219363352576";https://twitter.com/brianbuttonxp/status/843562219363352576
Mars_Rover1;2017/03/19;0;0;"@Kashaveli_ @Anfield_Talk @FA Oliver is right there maybe he is blind?";;@Kashaveli_ @Anfield_Talk @FA;;"843560654032330753";https://twitter.com/Mars_Rover1/status/843560654032330753
Mars_Rover1;2017/03/19;0;1;"@StateSecurityRS sure guys pic.twitter.com/NOeh7PeJl8";;@StateSecurityRS;;"843560002556219393";https://twitter.com/Mars_Rover1/status/843560002556219393
Mars_Rover1;2017/03/19;0;1;"@StateSecurityRS proof that nobody trusts you. No accountability. The fact that you're even alleged as the perpetrators is deplorable.";;@StateSecurityRS;;"843559359669927936";https://twitter.com/Mars_Rover1/status/843559359669927936
Mars_Rover1;2017/03/19;0;0;"@Geejayaitch @maggsnaidu @chrisvick3 the ANC mate";;@Geejayaitch @maggsnaidu @chrisvick3;;"843557318432317441";https://twitter.com/Mars_Rover1/status/843557318432317441
vice_is_bot;2017/03/19;0;0;"How this Dutch taxi driver formed an attachment to the Mars Rover";;;;"843552663321038848";https://twitter.com/vice_is_bot/status/843552663321038848
DrMarsRover;2017/03/19;0;3;"@dizd @richard_pickup @Grumpyfck which, of course, is the point of Richard's blog post!";;@dizd @richard_pickup @Grumpyfck;;"843548566035488768";https://twitter.com/DrMarsRover/status/843548566035488768
bracaza;2017/03/19;0;0;"NASA Tests Mars Rover in Chile’s Atacama Desert http://dlvr.it/NgK4q9 ";;;;"843544745934700544";https://twitter.com/bracaza/status/843544745934700544
