username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016/08/30;7521;22858;"Thank you North Carolina! #MAGApic.twitter.com/1oWrFnHe0u";;;#MAGApic;"770771735092142080";https://twitter.com/realDonaldTrump/status/770771735092142080
;2016/08/30;7857;21550;"Thank you America! #MAGA https://instagram.com/p/BJvyloZD0yo/ pic.twitter.com/ePJW9jLckM";;;#MAGA;"770724546454417408";https://twitter.com/realDonaldTrump/status/770724546454417408
;2016/08/30;3271;11948;"" @meequalsfree: Looking forward to seeing you again! Everett to be a packed house! @realDonaldTrump @mike_pence"";;@meequalsfree @realDonaldTrump @mike_pence;;"770573355191631873";https://twitter.com/realDonaldTrump/status/770573355191631873
;2016/08/30;11066;33415;"From day one I said that I was going to build a great wall on the SOUTHERN BORDER, and much more. Stop illegal immigration. Watch Wednesday!";;;;"770568584443539456";https://twitter.com/realDonaldTrump/status/770568584443539456
;2016/08/29;5036;13933;"Join me this Thursday in Wilmington, Ohio at noon! #ImWithYou Tickets: https://www.donaldjtrump.com/schedule/register/wilmington-oh/ …pic.twitter.com/fDAJl5wVGe";;;#ImWithYou;"770417590351040513";https://twitter.com/realDonaldTrump/status/770417590351040513
;2016/08/29;4659;12528;"Join me this Wednesday in Phoenix, Arizona at 6pm! #ImWithYou Tickets: https://www.donaldjtrump.com/schedule/register/phoenix-az2/ …pic.twitter.com/VwKnxo1TNQ";;;#ImWithYou;"770414693869649921";https://twitter.com/realDonaldTrump/status/770414693869649921
;2016/08/29;7681;20131;"#MakeAmericaGreatAgain #ImWithYoupic.twitter.com/IoYMdjvWHf";;;#MakeAmericaGreatAgain #ImWithYoupic;"770401822121005056";https://twitter.com/realDonaldTrump/status/770401822121005056
;2016/08/29;10391;24607;"We will repeal and replace the horrible disaster known as #Obamacare!pic.twitter.com/YzRTPrqrNC";;;#Obamacare;"770381482229657602";https://twitter.com/realDonaldTrump/status/770381482229657602
;2016/08/29;16215;30276;"#CrookedHillarypic.twitter.com/vXhcC8PaPy";;;#CrookedHillarypic;"770330631783972868";https://twitter.com/realDonaldTrump/status/770330631783972868
;2016/08/29;8838;27445;"Now that African-Americans are seeing what a bad job Hillary type policy and management has done to the inner-cities, they want TRUMP!";;;;"770253550639251456";https://twitter.com/realDonaldTrump/status/770253550639251456
;2016/08/29;7057;22185;"Crooked Hillary's brainpower is highly overrated.Probably why her decision making is so bad or, as stated by Bernie S, she has BAD JUDGEMENT";;;;"770252177512230912";https://twitter.com/realDonaldTrump/status/770252177512230912
;2016/08/29;10669;29852;"Does anyone know that Crooked Hillary, who tried so hard, was unable to pass the Bar Exams in Washington D.C. She was forced to go elsewhere";;;;"770250409843777536";https://twitter.com/realDonaldTrump/status/770250409843777536
;2016/08/29;4224;13592;"" @PMNOrlando: @realDonaldTrump I know of NO ONE voting for Crooked Hillary! Her rallies are held in (blank) & she still has room.";;@PMNOrlando @realDonaldTrump;;"770249086255661056";https://twitter.com/realDonaldTrump/status/770249086255661056
;2016/08/29;6761;15917;"" @RhondaR: Thank-You Clarence Henderson for telling @cnn you know racism & it's not DonaldTrump http://www.breitbart.com/video/2016/08/28/civil-rights-leader-clarence-henderson-backs-trump-america-is-a-business/ … via @BreitbartNews"";;@RhondaR @cnn @BreitbartNews;;"770248548571021312";https://twitter.com/realDonaldTrump/status/770248548571021312
;2016/08/29;6531;15644;"" @Patrici: Crowd at Trump Rally in Akron, Ohio is a Sea of Women, Minorities, Independents, Dems https://shar.es/1w66Vf  via @gatewaypundit";;@Patrici @gatewaypundit;;"770248186241900544";https://twitter.com/realDonaldTrump/status/770248186241900544
;2016/08/29;6726;20670;"Inner-city crime is reaching record levels. African-Americans will vote for Trump because they know I will stop the slaughter going on!";;;;"770247094439469058";https://twitter.com/realDonaldTrump/status/770247094439469058
;2016/08/29;6917;21969;"Look how bad it is getting! How much more crime, how many more shootings, will it take for African-Americans and Latinos to vote Trump=SAFE!";;;;"770245313345052673";https://twitter.com/realDonaldTrump/status/770245313345052673
;2016/08/28;10412;32837;"I will be making a major speech on ILLEGAL IMMIGRATION on Wednesday in the GREAT State of Arizona. Big crowds, looking for a larger venue.";;;;"770040258796855296";https://twitter.com/realDonaldTrump/status/770040258796855296
;2016/08/28;19453;51588;"I think that both candidates, Crooked Hillary and myself, should release detailed medical records. I have no problem in doing so! Hillary?";;;;"770039317142069248";https://twitter.com/realDonaldTrump/status/770039317142069248
;2016/08/28;8540;28335;"Today is the 53rd anniversary of the March on Washington - today we honor the enduring fight for justice, equality and opportunity.";;;;"770021252002119680";https://twitter.com/realDonaldTrump/status/770021252002119680
;2016/08/28;6170;20678;"Thank you Arizona! #VoteTrumppic.twitter.com/v8VLxdd0fO";;;#VoteTrumppic;"769898524439896064";https://twitter.com/realDonaldTrump/status/769898524439896064
;2016/08/28;4334;12144;"Join me Tuesday in Everett, Washington at the Xfinity Arena! Tickets: https://www.donaldjtrump.com/schedule/register/everett-wa/ …pic.twitter.com/sn08gnd0lq";;;;"769897797319532544";https://twitter.com/realDonaldTrump/status/769897797319532544
;2016/08/27;4739;15800;"" @LindaHarden: @realDonaldTrump America loves Trump and @mike_pence -- praying for you every day. Stay strong. #TrumpPence2016 #NeverHillary";;@LindaHarden @realDonaldTrump @mike_pence;#TrumpPence2016 #NeverHillary;"769740626497679360";https://twitter.com/realDonaldTrump/status/769740626497679360
;2016/08/27;12225;22172;"NATIONAL DEBT January 2009 = $10.6 TRILLION August 2016 = $19.4 TRILLIONpic.twitter.com/dKAVaLfGAJ";;;;"769724556949020672";https://twitter.com/realDonaldTrump/status/769724556949020672
;2016/08/27;7138;21187;"It was an honor to have the amazing Root family join me in Iowa. I have been so inspired by their courage & bravery.https://amp.twimg.com/v/d96463a2-c8f5-42a3-8865-065ba39beb30 …";;;;"769718184836472832";https://twitter.com/realDonaldTrump/status/769718184836472832
;2016/08/27;5830;18876;"Thank you Iowa! #ImWithYoupic.twitter.com/3BIF6jBTkk";;;#ImWithYoupic;"769647461459632128";https://twitter.com/realDonaldTrump/status/769647461459632128
;2016/08/27;4339;17360;"Just landed in Iowa to attend a great event in honor of wonderful Senator @JoniErnst. Look forward to being with all of my friends.";;@JoniErnst;;"769607369869266944";https://twitter.com/realDonaldTrump/status/769607369869266944
;2016/08/27;8946;30688;"My condolences to Dwyane Wade and his family, on the loss of Nykea Aldridge. They are in my thoughts and prayers.";;;;"769592508879892480";https://twitter.com/realDonaldTrump/status/769592508879892480
;2016/08/27;9187;27235;"Dwyane Wade's cousin was just shot and killed walking her baby in Chicago. Just what I have been saying. African-Americans will VOTE TRUMP!";;;;"769571710924263424";https://twitter.com/realDonaldTrump/status/769571710924263424
;2016/08/27;4530;10368;""@GoldJazz559: #BlackMenForBernie Leader: #Hillary2016 ‘No Regard For Black Race’ http://dailycaller.com/2016/06/06/black-men-for-bernie-leader-hillary-has-no-regard-for-the-black-race/ … via @dailycaller #BlacksForTrump";;@GoldJazz559 @dailycaller;#BlackMenForBernie #Hillary2016 #BlacksForTrump;"769554782151331840";https://twitter.com/realDonaldTrump/status/769554782151331840
;2016/08/27;9050;21798;"" @DiamondandSilk: Crooked Hillary getting desperate. On TV bashing Trump. @CNN, she forgot how she said a KKK member was her mentor.";;@DiamondandSilk @CNN;;"769552592158412800";https://twitter.com/realDonaldTrump/status/769552592158412800
;2016/08/27;11348;34049;"Heroin overdoses are taking over our children and others in the MIDWEST. Coming in from our southern border. We need strong border & WALL!";;;;"769539271678013440";https://twitter.com/realDonaldTrump/status/769539271678013440
;2016/08/26;11607;26258;"New polls - join the MOVEMENT today. http://www.DonaldJTrump.com  #ImWithYoupic.twitter.com/numII7W99T";;;#ImWithYoupic;"769331841316687873";https://twitter.com/realDonaldTrump/status/769331841316687873
