username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2013/01/16;1512;680;""Let’s do the right thing for them, and for this country we love so much." —President Obama";;;;"291595563953188865";https://twitter.com/BarackObama/status/291595563953188865
;2013/01/16;2731;957;""Along with our freedom to live our lives as we will comes an obligation to allow others to do the same." —President Obama";;;;"291594925735305216";https://twitter.com/BarackObama/status/291594925735305216
;2013/01/16;653;307;""The most important changes we can make depend on congressional action. They need to bring these proposals up for a vote."";;;;"291594088308957185";https://twitter.com/BarackObama/status/291594088308957185
;2013/01/16;1943;614;""The only way we can change is if the American people demand it." —President Obama";;;;"291593257127927808";https://twitter.com/BarackObama/status/291593257127927808
;2013/01/16;1417;455;"President Obama: "Let me be absolutely clear: like most Americans, I believe the 2nd Amendment guarantees an individual right to bear arms."";;;;"291593010897117184";https://twitter.com/BarackObama/status/291593010897117184
;2013/01/16;1335;508;""We should get tougher on people who buy guns with the express purpose of turning around and selling them to criminals." —President Obama";;;;"291592825303339009";https://twitter.com/BarackObama/status/291592825303339009
;2013/01/16;808;353;""Finally, Congress needs to help rather than hinder law enforcement as it does its job."";;;;"291592734077231105";https://twitter.com/BarackObama/status/291592734077231105
;2013/01/16;1438;598;""Second: Congress should restore a ban on military-style assault weapons, and a 10-round limit for magazines."";;;;"291592511988830210";https://twitter.com/BarackObama/status/291592511988830210
;2013/01/16;1952;739;""First, it's time for Congress to require a universal background check for anyone trying to buy a gun." —President Obama";;;;"291592258472509440";https://twitter.com/BarackObama/status/291592258472509440
;2013/01/16;660;300;""I'm calling on Congress to pass some very specific proposals right away." —President Obama on reducing gun violence";;;;"291591935158788097";https://twitter.com/BarackObama/status/291591935158788097
;2013/01/16;2676;901;""If there's even one life that can be saved, then we've got an obligation to try." —President Obama";;;;"291591278951542785";https://twitter.com/BarackObama/status/291591278951542785
;2013/01/16;1651;611;""This is our first task as a society: Keeping our children safe." —President Obama";;;;"291590727094386688";https://twitter.com/BarackObama/status/291590727094386688
