username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2013/01/08;728;257;"“Give me a smart idiot over a stupid genius any day.” - Samuel Goldwyn";;;;"288762655290847233";https://twitter.com/realDonaldTrump/status/288762655290847233
;2013/01/08;2;0;"@shineb4 @jayleno @billmaher Thanks";;@shineb4 @jayleno @billmaher;;"288760041375404033";https://twitter.com/realDonaldTrump/status/288760041375404033
;2013/01/08;0;0;"@Melpace Thanks!";;@Melpace;;"288759822776664064";https://twitter.com/realDonaldTrump/status/288759822776664064
;2013/01/08;0;0;"@dalasner Stay tuned!";;@dalasner;;"288759169757106176";https://twitter.com/realDonaldTrump/status/288759169757106176
;2013/01/08;2;2;"@Haley_Loyal @CelebApprentice @latoyajackson LaToya is terrific.";;@Haley_Loyal @CelebApprentice @latoyajackson;;"288758804559044610";https://twitter.com/realDonaldTrump/status/288758804559044610
;2013/01/08;0;0;"@dasboot96 @KyleMcCall4 True--just terrible.";;@dasboot96 @KyleMcCall4;;"288757576475222016";https://twitter.com/realDonaldTrump/status/288757576475222016
;2013/01/08;1;0;"@schutzhund007 Great--I would rather it be here--by far.";;@schutzhund007;;"288754875922264064";https://twitter.com/realDonaldTrump/status/288754875922264064
;2013/01/08;8;8;"@CJohnson623 @billmaher Stay tuned!";;@CJohnson623 @billmaher;;"288751812171952128";https://twitter.com/realDonaldTrump/status/288751812171952128
;2013/01/08;0;0;"@Joeisterrific Thanks Joe.";;@Joeisterrific;;"288746741107396608";https://twitter.com/realDonaldTrump/status/288746741107396608
;2013/01/08;2;3;"@KevinM_Mielke True!";;@KevinM_Mielke;;"288746481358344192";https://twitter.com/realDonaldTrump/status/288746481358344192
;2013/01/08;0;0;"@USFiscalSanity Work hard.";;@USFiscalSanity;;"288746028960735232";https://twitter.com/realDonaldTrump/status/288746028960735232
;2013/01/08;0;0;"@caarlatwiter She's fantastic.";;@caarlatwiter;;"288745807547617280";https://twitter.com/realDonaldTrump/status/288745807547617280
;2013/01/08;0;0;"@C_A_Pearson True!";;@C_A_Pearson;;"288745454991192066";https://twitter.com/realDonaldTrump/status/288745454991192066
